Enteros,Flotantes,Texto,Fechas,Booleanos,Categoría,Tiempo Delta
nan,1.1,,,True,alta,5 days 00:00:00
1,3.3,?,?,,baja,3 days 00:00:00
nan,2.2,b,2023-05-01 00:00:00,False,media,?
?,1.1,,2023-01-01 00:00:00,?,baja,1 days 00:00:00
nan,3.3,a,,True,media,3 days 00:00:00
4,3.3,123,?,True,media,?
nan,nan,d,2023-05-01 00:00:00,?,media,1 days 00:00:00
1,?,,?,,media,3 days 00:00:00
5,nan,e,2023-05-01 00:00:00,False,,3 days 00:00:00
1,1.1,d,2023-01-01 00:00:00,True,,?
2,?,a,2023-03-01 00:00:00,,baja,?
1,2.2,b,2023-01-01 00:00:00,False,alta,
3,4.4,e,2023-05-01 00:00:00,False,media,1 days 00:00:00
1,1.1,c,2023-01-01 00:00:00,?,baja,
1,4.4,,,False,baja,1 days 00:00:00
2,4.4,a,2023-05-01 00:00:00,False,media,1 days 00:00:00
4,3.3,,2023-05-01 00:00:00,,,1 days 00:00:00
5,1.1,123,,?,alta,1 days 00:00:00
1,4.4,?,2023-01-01 00:00:00,,alta,
?,?,,,?,alta,5 days 00:00:00
1,1.1,123,2023-05-01 00:00:00,True,alta,5 days 00:00:00
nan,4.4,c,2023-03-01 00:00:00,False,alta,1 days 00:00:00
1,nan,123,2023-01-01 00:00:00,,,?
4,nan,,2023-03-01 00:00:00,,?,5 days 00:00:00
3,3.3,a,2023-01-01 00:00:00,?,baja,?
2,nan,d,2023-05-01 00:00:00,?,,1 days 00:00:00
4,1.1,,2023-05-01 00:00:00,,media,1 days 00:00:00
1,4.4,c,,?,,3 days 00:00:00
nan,2.2,c,,?,alta,
5,?,d,2023-01-01 00:00:00,,,3 days 00:00:00
4,5.5,?,,?,alta,3 days 00:00:00
?,?,a,2023-05-01 00:00:00,True,,3 days 00:00:00
?,4.4,a,2023-01-01 00:00:00,?,?,3 days 00:00:00
nan,5.5,,?,False,media,5 days 00:00:00
?,nan,?,2023-05-01 00:00:00,True,media,
5,nan,?,2023-01-01 00:00:00,False,?,3 days 00:00:00
3,4.4,a,?,?,alta,
5,3.3,c,2023-05-01 00:00:00,False,media,?
1,3.3,b,,False,baja,3 days 00:00:00
nan,5.5,d,2023-03-01 00:00:00,False,alta,1 days 00:00:00
nan,2.2,b,2023-05-01 00:00:00,,media,3 days 00:00:00
4,2.2,123,2023-03-01 00:00:00,,?,?
3,2.2,a,?,False,alta,
nan,4.4,?,2023-03-01 00:00:00,,media,5 days 00:00:00
2,2.2,123,2023-05-01 00:00:00,True,baja,1 days 00:00:00
5,1.1,c,2023-05-01 00:00:00,False,?,5 days 00:00:00
nan,3.3,e,?,?,?,?
4,2.2,e,2023-05-01 00:00:00,?,alta,
5,?,123,,?,media,3 days 00:00:00
3,nan,d,?,True,,3 days 00:00:00
?,4.4,b,?,True,alta,?
4,2.2,e,?,True,baja,5 days 00:00:00
1,?,123,2023-03-01 00:00:00,?,,1 days 00:00:00
4,4.4,d,2023-05-01 00:00:00,,,3 days 00:00:00
nan,?,c,2023-01-01 00:00:00,?,,3 days 00:00:00
3,5.5,c,2023-01-01 00:00:00,,baja,1 days 00:00:00
3,1.1,123,2023-01-01 00:00:00,True,media,5 days 00:00:00
2,5.5,b,2023-05-01 00:00:00,False,baja,1 days 00:00:00
nan,4.4,123,2023-05-01 00:00:00,,baja,?
4,4.4,e,,?,media,1 days 00:00:00
5,5.5,123,?,True,,
?,5.5,c,?,,,
?,nan,?,?,False,media,
?,5.5,c,2023-01-01 00:00:00,False,,1 days 00:00:00
2,4.4,,2023-01-01 00:00:00,True,baja,?
5,1.1,,,True,baja,5 days 00:00:00
2,2.2,d,?,,,
4,nan,123,2023-01-01 00:00:00,False,baja,3 days 00:00:00
4,5.5,a,,,?,5 days 00:00:00
1,2.2,e,?,False,media,5 days 00:00:00
?,1.1,,2023-03-01 00:00:00,True,baja,
5,3.3,?,2023-05-01 00:00:00,True,alta,1 days 00:00:00
4,5.5,b,2023-05-01 00:00:00,True,alta,1 days 00:00:00
nan,1.1,,2023-03-01 00:00:00,,?,5 days 00:00:00
4,2.2,e,2023-03-01 00:00:00,False,?,1 days 00:00:00
5,4.4,c,2023-01-01 00:00:00,True,baja,5 days 00:00:00
4,nan,,2023-03-01 00:00:00,False,,1 days 00:00:00
4,1.1,c,2023-05-01 00:00:00,,alta,?
4,4.4,?,?,,?,3 days 00:00:00
nan,nan,,?,?,media,?
nan,?,c,,False,alta,5 days 00:00:00
1,5.5,d,2023-03-01 00:00:00,False,media,3 days 00:00:00
4,4.4,,,,alta,?
3,nan,a,2023-01-01 00:00:00,True,alta,1 days 00:00:00
nan,1.1,c,,True,baja,
2,2.2,?,,,baja,5 days 00:00:00
?,1.1,d,,False,baja,?
?,5.5,c,,False,,?
5,?,123,,?,alta,1 days 00:00:00
2,5.5,?,2023-03-01 00:00:00,?,?,
nan,5.5,d,,True,alta,?
2,4.4,,2023-03-01 00:00:00,True,media,
4,?,d,2023-05-01 00:00:00,,media,
2,2.2,123,,,,
nan,3.3,123,,True,,
3,2.2,123,2023-03-01 00:00:00,?,,1 days 00:00:00
1,3.3,b,2023-01-01 00:00:00,,media,
?,5.5,,,,?,1 days 00:00:00
2,1.1,b,2023-01-01 00:00:00,,baja,3 days 00:00:00
1,4.4,e,2023-01-01 00:00:00,?,baja,1 days 00:00:00
nan,?,,?,True,baja,1 days 00:00:00
nan,3.3,123,?,True,baja,5 days 00:00:00
?,1.1,123,?,?,,3 days 00:00:00
1,4.4,a,2023-05-01 00:00:00,?,baja,
nan,4.4,123,2023-05-01 00:00:00,False,?,?
nan,nan,c,2023-05-01 00:00:00,?,?,1 days 00:00:00
4,nan,b,,False,?,?
1,2.2,d,2023-03-01 00:00:00,?,,3 days 00:00:00
4,2.2,?,2023-03-01 00:00:00,True,,?
4,3.3,?,2023-03-01 00:00:00,,alta,
2,nan,d,?,False,media,?
5,?,c,2023-05-01 00:00:00,,baja,5 days 00:00:00
nan,3.3,d,2023-01-01 00:00:00,,alta,1 days 00:00:00
?,?,a,2023-03-01 00:00:00,True,alta,5 days 00:00:00
?,nan,c,2023-03-01 00:00:00,True,media,?
nan,1.1,?,2023-01-01 00:00:00,?,media,3 days 00:00:00
4,1.1,b,2023-05-01 00:00:00,False,media,
4,5.5,123,2023-03-01 00:00:00,,media,1 days 00:00:00
3,5.5,123,,,?,?
1,nan,123,2023-03-01 00:00:00,?,alta,?
2,1.1,a,2023-03-01 00:00:00,False,media,5 days 00:00:00
4,2.2,123,?,,alta,3 days 00:00:00
5,1.1,c,,True,alta,1 days 00:00:00
5,nan,a,2023-01-01 00:00:00,True,alta,1 days 00:00:00
5,1.1,d,2023-03-01 00:00:00,?,media,5 days 00:00:00
?,nan,?,2023-03-01 00:00:00,,?,
4,2.2,a,2023-03-01 00:00:00,,,
5,?,e,2023-03-01 00:00:00,?,alta,
3,4.4,d,2023-05-01 00:00:00,False,baja,5 days 00:00:00
3,3.3,a,?,?,alta,3 days 00:00:00
4,1.1,a,,?,baja,?
5,4.4,,2023-01-01 00:00:00,,,
5,5.5,a,2023-01-01 00:00:00,?,alta,3 days 00:00:00
3,1.1,,?,,alta,3 days 00:00:00
nan,?,c,2023-05-01 00:00:00,,media,
4,2.2,,2023-05-01 00:00:00,True,,5 days 00:00:00
4,3.3,,,True,alta,
5,?,d,2023-03-01 00:00:00,,,3 days 00:00:00
?,1.1,,,?,,5 days 00:00:00
?,3.3,d,,False,?,5 days 00:00:00
3,4.4,e,2023-05-01 00:00:00,,,5 days 00:00:00
2,nan,a,,True,baja,
4,1.1,a,?,,,?
nan,?,c,?,False,alta,1 days 00:00:00
?,2.2,123,?,True,baja,
?,2.2,e,,?,,
1,3.3,c,2023-05-01 00:00:00,,?,5 days 00:00:00
4,5.5,a,2023-01-01 00:00:00,True,media,5 days 00:00:00
5,?,d,2023-01-01 00:00:00,?,?,3 days 00:00:00
4,nan,a,2023-05-01 00:00:00,False,alta,3 days 00:00:00
2,nan,?,2023-03-01 00:00:00,False,baja,1 days 00:00:00
nan,2.2,c,,?,media,1 days 00:00:00
1,1.1,e,2023-03-01 00:00:00,False,media,1 days 00:00:00
nan,4.4,,,?,baja,5 days 00:00:00
2,5.5,a,2023-01-01 00:00:00,,media,1 days 00:00:00
3,?,123,,False,,?
5,4.4,,2023-03-01 00:00:00,?,baja,3 days 00:00:00
3,1.1,b,2023-05-01 00:00:00,True,media,3 days 00:00:00
2,3.3,b,,True,alta,?
nan,?,?,2023-03-01 00:00:00,?,,3 days 00:00:00
5,1.1,b,2023-03-01 00:00:00,True,media,
5,3.3,e,2023-01-01 00:00:00,,,?
nan,1.1,?,2023-03-01 00:00:00,?,,
5,4.4,?,2023-03-01 00:00:00,False,alta,3 days 00:00:00
4,nan,e,2023-01-01 00:00:00,False,media,?
nan,5.5,,2023-05-01 00:00:00,?,?,?
2,1.1,a,2023-01-01 00:00:00,True,alta,
?,5.5,e,2023-05-01 00:00:00,,baja,
3,3.3,c,2023-01-01 00:00:00,False,?,
nan,?,?,2023-03-01 00:00:00,True,media,
4,3.3,b,2023-01-01 00:00:00,?,alta,
1,2.2,,,True,,1 days 00:00:00
2,?,?,,?,?,1 days 00:00:00
2,nan,b,2023-01-01 00:00:00,?,alta,3 days 00:00:00
nan,4.4,,2023-05-01 00:00:00,?,baja,5 days 00:00:00
3,3.3,b,?,,media,5 days 00:00:00
2,3.3,a,,,?,1 days 00:00:00
nan,5.5,a,?,True,alta,1 days 00:00:00
3,3.3,d,,False,?,5 days 00:00:00
?,1.1,d,2023-05-01 00:00:00,?,media,1 days 00:00:00
1,5.5,?,2023-01-01 00:00:00,True,baja,?
3,?,e,?,False,,3 days 00:00:00
?,2.2,c,?,False,?,1 days 00:00:00
4,nan,c,?,,media,3 days 00:00:00
1,nan,c,2023-01-01 00:00:00,False,alta,
5,3.3,a,,False,media,5 days 00:00:00
2,4.4,?,2023-01-01 00:00:00,,,3 days 00:00:00
4,2.2,,2023-05-01 00:00:00,?,?,1 days 00:00:00
1,?,c,,,?,
2,5.5,,2023-05-01 00:00:00,False,baja,5 days 00:00:00
5,?,d,2023-05-01 00:00:00,?,media,3 days 00:00:00
3,nan,a,2023-05-01 00:00:00,?,baja,1 days 00:00:00
2,3.3,d,2023-01-01 00:00:00,True,baja,
4,5.5,c,?,True,?,5 days 00:00:00
?,5.5,e,,True,baja,1 days 00:00:00
3,3.3,b,2023-05-01 00:00:00,?,baja,5 days 00:00:00
nan,4.4,,2023-05-01 00:00:00,True,media,3 days 00:00:00
4,5.5,a,?,False,,
1,nan,,2023-03-01 00:00:00,True,media,?
2,2.2,?,2023-05-01 00:00:00,,alta,
5,4.4,?,2023-01-01 00:00:00,False,,5 days 00:00:00
1,2.2,?,2023-05-01 00:00:00,,alta,?
3,?,e,?,,alta,
2,3.3,?,2023-05-01 00:00:00,,baja,
nan,5.5,b,2023-01-01 00:00:00,True,?,
3,?,e,2023-05-01 00:00:00,False,media,1 days 00:00:00
2,3.3,d,2023-03-01 00:00:00,False,baja,
4,5.5,d,2023-01-01 00:00:00,,media,5 days 00:00:00
3,3.3,a,?,?,?,
?,1.1,123,2023-03-01 00:00:00,False,media,3 days 00:00:00
nan,1.1,c,?,?,media,3 days 00:00:00
2,4.4,?,,?,media,3 days 00:00:00
4,4.4,d,2023-05-01 00:00:00,False,alta,?
5,2.2,,2023-03-01 00:00:00,?,,
2,1.1,,?,,alta,
nan,2.2,123,2023-01-01 00:00:00,False,media,3 days 00:00:00
1,?,a,2023-03-01 00:00:00,False,,1 days 00:00:00
5,?,e,,True,baja,?
?,nan,c,,?,media,?
4,nan,c,2023-01-01 00:00:00,True,?,?
nan,?,d,2023-01-01 00:00:00,?,,
3,?,b,,,alta,?
1,1.1,a,,True,baja,3 days 00:00:00
3,?,d,2023-01-01 00:00:00,?,,1 days 00:00:00
5,4.4,a,2023-01-01 00:00:00,False,,
?,nan,a,?,,,?
nan,3.3,e,,False,baja,1 days 00:00:00
4,1.1,123,2023-03-01 00:00:00,False,,3 days 00:00:00
4,3.3,a,2023-03-01 00:00:00,?,baja,?
?,5.5,?,2023-03-01 00:00:00,,,5 days 00:00:00
1,?,123,2023-01-01 00:00:00,?,alta,?
5,2.2,c,,True,media,5 days 00:00:00
3,5.5,d,?,?,media,1 days 00:00:00
4,4.4,d,2023-05-01 00:00:00,True,alta,3 days 00:00:00
1,1.1,c,?,?,?,5 days 00:00:00
4,4.4,e,2023-01-01 00:00:00,True,baja,3 days 00:00:00
3,2.2,a,2023-03-01 00:00:00,?,?,?
4,1.1,123,,,alta,5 days 00:00:00
4,3.3,?,,,,
4,2.2,c,2023-05-01 00:00:00,,,5 days 00:00:00
1,2.2,123,2023-05-01 00:00:00,?,alta,
nan,?,b,2023-05-01 00:00:00,True,alta,5 days 00:00:00
4,?,123,,,,
nan,nan,?,2023-01-01 00:00:00,?,alta,
5,2.2,a,2023-05-01 00:00:00,False,?,?
?,2.2,e,2023-03-01 00:00:00,?,media,5 days 00:00:00
1,3.3,a,2023-05-01 00:00:00,True,baja,3 days 00:00:00
4,2.2,d,2023-05-01 00:00:00,?,media,?
2,nan,123,2023-01-01 00:00:00,False,,?
nan,2.2,c,?,,?,?
4,1.1,c,,,,1 days 00:00:00
nan,1.1,123,2023-01-01 00:00:00,?,alta,
4,3.3,,,True,,3 days 00:00:00
4,4.4,?,2023-05-01 00:00:00,,alta,5 days 00:00:00
?,1.1,e,2023-01-01 00:00:00,False,baja,5 days 00:00:00
1,3.3,e,2023-01-01 00:00:00,False,media,
2,4.4,,,?,?,5 days 00:00:00
5,nan,?,,False,media,5 days 00:00:00
nan,3.3,d,2023-05-01 00:00:00,True,,5 days 00:00:00
?,4.4,d,2023-01-01 00:00:00,,?,1 days 00:00:00
nan,4.4,b,2023-05-01 00:00:00,?,?,
?,2.2,123,2023-01-01 00:00:00,False,baja,3 days 00:00:00
4,5.5,a,,True,,
?,3.3,d,?,?,baja,1 days 00:00:00
nan,3.3,c,2023-05-01 00:00:00,?,,3 days 00:00:00
3,2.2,b,,,baja,?
5,5.5,a,2023-05-01 00:00:00,True,media,
nan,1.1,b,?,False,baja,
?,5.5,,2023-05-01 00:00:00,False,,1 days 00:00:00
5,3.3,b,2023-01-01 00:00:00,True,?,3 days 00:00:00
?,2.2,,,False,?,
1,nan,123,2023-05-01 00:00:00,False,,5 days 00:00:00
2,1.1,,,?,media,
2,nan,?,2023-03-01 00:00:00,,?,
1,4.4,,2023-03-01 00:00:00,?,,5 days 00:00:00
